GEOID10,NAMELSAD10,Low_Risk,High_Risk,Pct_Risk,Total_Wrk
4203701,Adams & Franklin (Southeast) Counties PUMA,61267,19473,0.24118,80740
4201804,"Allegheny County (East)--Monroeville Municipality, Plum & Wilkinsburg Boroughs PUMA",82515,26607,0.24383,109122
4201803,Allegheny County (North Central) PUMA,64082,16890,0.20859,80972
4201802,Allegheny County (North)--Franklin Park Borough & Allison Park PUMA,74082,25487,0.25597,99569
4201806,Allegheny County (South Central)--Baldwin & Whitehall Boroughs PUMA,60977,17163,0.21964,78140
4201807,Allegheny County (South)--Bethel Park Municipality & Jefferson Hills Borough PUMA,55259,14526,0.20815,69785
4201805,"Allegheny County (Southeast)--West Mifflin Borough, McKeesport City & Munhall Borough PUMA",44328,16369,0.26968,60697
4201801,Allegheny County (West) PUMA,57227,18793,0.24721,76020
4202803,Allentown City PUMA,52834,19705,0.27165,72539
4201502,Beaver County (South) PUMA,67249,23681,0.26043,90930
4202703,Berks County (East) PUMA,70619,22854,0.2445,93473
4202701,Berks County (Northwest)--Wyomissing Borough PUMA,63777,19736,0.23632,83513
4202702,Berks County (Southwest)--Reading City PUMA,61207,21945,0.26391,83152
4202200,Blair & Huntingdon Counties--Altoona City PUMA,70481,26529,0.27347,97010
4200400,"Bradford, Tioga & Sullivan Counties PUMA",45993,11754,0.20354,57747
4203002,Bucks County (Central) PUMA,68917,15253,0.18122,84170
4203001,Bucks County (North) PUMA,73035,19441,0.21023,92476
4203003,Bucks County (Southeast)--Levittown PUMA,85996,23805,0.2168,109801
4203004,Bucks County (Southwest) PUMA,90057,24531,0.21408,114588
4201600,Butler County PUMA,88625,28393,0.24264,117018
4202100,Cambria County PUMA,56080,18736,0.25043,74816
4202801,Carbon & Lehigh (North) Counties PUMA,63401,17152,0.21293,80553
4201200,Centre County PUMA,77740,31716,0.28976,109456
4203402,Chester County (East Central)--West Chester Borough PUMA,67573,21636,0.24253,89209
4203401,Chester County (North)--Phoenixville Borough PUMA,61983,14302,0.18748,76285
4203404,Chester County (South) PUMA,59896,16088,0.21173,75984
4203403,Chester County (West Central)--Coatesville City PUMA,74600,15310,0.17028,89910
4200300,"Clearfield, McKean, Elk, Potter & Cameron Counties PUMA",73148,24702,0.25245,97850
4200803,Columbia & Luzerne (West) Counties--Bloomsburg Town & Berwick Borough PUMA,61011,15079,0.19817,76090
4200200,Crawford & Warren Counties PUMA,58420,14095,0.19437,72515
4202301,Cumberland (West) & Perry Counties--Carlisle Borough PUMA,68935,19156,0.21746,88091
4202302,Cumberland County (East) PUMA,77671,24242,0.23787,101913
4202401,Dauphin County (Central)--Harrisburg City & Colonial Park PUMA,76338,24751,0.24484,101089
4202402,Dauphin County (Outer)--Hershey PUMA,51218,16444,0.24303,67662
4203302,"Delaware County (East)--Yeadon, Darby, Lansdowne Boroughs & Drexel Hill PUMA",74709,27701,0.27049,102410
4203301,Delaware County (North)--Broomall & Ardmore (West) PUMA,68641,16435,0.19318,85076
4203303,Delaware County (Southeast)--Chester City PUMA,64832,19544,0.23163,84376
4203304,Delaware County (West) PUMA,60555,16363,0.21273,76918
4200101,"Erie City, Lawrence Park Township & Wesleyville Borough PUMA",43682,17349,0.28427,61031
4200102,Erie County (Outer) PUMA,77616,23082,0.22922,100698
4203900,Fayette County PUMA,52388,20921,0.28538,73309
4203702,Franklin County (Outside Washington Township & Waynesboro Borough) PUMA,64963,13036,0.16713,77999
4201900,Indiana & Armstrong Counties PUMA,61998,25079,0.28801,87077
4200702,Lackawanna (Outside Greater Scranton City) & Wyoming Counties PUMA,54401,18197,0.25065,72598
4200701,"Lackawanna County--Scranton City, Dunmore, Old Forge, Taylor & Moosic Boroughs PUMA",49488,16852,0.25402,66340
4203503,Lancaster County (East)--Ephrata Borough PUMA,78924,22593,0.22255,101517
4203502,Lancaster County (Northwest)--Elizabethtown Borough PUMA,56374,12557,0.18217,68931
4203504,Lancaster County (Southwest)--Columbia Borough PUMA,61484,19755,0.24317,81239
4203501,"Lancaster County--Lancaster City, East Lampeter, Lancaster & West Lampeter Townships PUMA",57013,20045,0.26013,77058
4201501,Lawrence & Beaver (North) Counties--New Castle City PUMA,46755,13482,0.22382,60237
4202500,Lebanon County PUMA,63379,23047,0.26667,86426
4202802,Lehigh County (South--Outside Allentown & Bethlehem Cities)--Emmaus Borough PUMA,77387,20674,0.21083,98061
4200801,Luzerne County (East)--Kingston Borough PUMA,56921,19319,0.2534,76240
4200802,Luzerne County (South Central)--Wilkes-Barre & Hazleton Cities PUMA,60745,17435,0.22301,78180
4200900,Lycoming & Clinton Counties PUMA,75783,18000,0.19193,93783
4201400,Mercer County PUMA,45762,15725,0.25575,61487
4201100,"Mifflin, Union, Snyder & Juniata Counties PUMA",68323,19926,0.22579,88249
4200600,Monroe County PUMA,65717,31425,0.3235,97142
4203104,Montgomery County (Central)--Norristown Borough PUMA,56544,15388,0.21392,71932
4203102,Montgomery County (Northeast)--Lansdale Borough PUMA,58738,17883,0.2334,76621
4203101,Montgomery County (Northwest)--Pottstown Borough PUMA,72016,20528,0.22182,92544
4203106,Montgomery County (South Central) PUMA,86601,23027,0.21005,109628
4203105,"Montgomery County (Southeast)--Willow Grove, Horsham & Montgomeryville PUMA",64707,18441,0.22179,83148
4203103,Montgomery County (Southwest)--King of Prussia & Ardmore (East) PUMA,72848,14637,0.16731,87485
4202901,Northampton (South) & Lehigh (East) Counties--Bethlehem (East) & Easton Cities PUMA,82987,25496,0.23502,108483
4202902,Northampton County (North) PUMA,70480,18588,0.20869,89068
4201000,Northumberland & Montour Counties PUMA,50507,12322,0.19612,62829
4203209,Philadelphia City (Center City) PUMA,94384,14872,0.13612,109256
4203207,Philadelphia City (Central) PUMA,46848,13427,0.22276,60275
4203205,Philadelphia City (East) PUMA,58361,22546,0.27867,80907
4203201,Philadelphia City (Far Northeast) PUMA,66321,20355,0.23484,86676
4203203,Philadelphia City (Near Northeast-East) PUMA,53335,20824,0.2808,74159
4203202,Philadelphia City (Near Northeast-West) PUMA,59390,18516,0.23767,77906
4203204,Philadelphia City (North) PUMA,66448,22586,0.25368,89034
4203206,Philadelphia City (Northwest) PUMA,78413,19970,0.20298,98383
4203211,Philadelphia City (Southeast) PUMA,58388,22160,0.27512,80548
4203210,Philadelphia City (Southwest) PUMA,62770,24986,0.28472,87756
4203208,Philadelphia City (West) PUMA,51139,13920,0.21396,65059
4200500,"Pike, Wayne & Susquehanna Counties PUMA",58396,25052,0.30021,83448
4201701,Pittsburgh City (North) PUMA,99640,31429,0.23979,131069
4201702,Pittsburgh City (South) PUMA,52762,20573,0.28053,73335
4202600,Schuylkill County PUMA,66575,15761,0.19142,82336
4203800,"Somerset, Bedford & Fulton Counties PUMA",61048,17855,0.22629,78903
4201300,"Venango, Jefferson, Clarion & Forest Counties PUMA",62410,19181,0.23509,81591
4204002,Washington (South) & Greene Counties PUMA,40854,16860,0.29213,57714
4204001,Washington County (North)--Washington City PUMA,67771,23248,0.25542,91019
4202003,Westmoreland County (East) PUMA,49717,15158,0.23365,64875
4202001,Westmoreland County (Northwest)--Murrysville Municipality & New Kensington City PUMA,44526,13801,0.23661,58327
4202002,Westmoreland County (Southwest)--Greensburg City PUMA,71540,21792,0.23349,93332
4203601,York County (Central)--York City & Shiloh PUMA,71745,21165,0.2278,92910
4203602,York County (North)--Weigelstown PUMA,66045,17812,0.21241,83857
4203603,York County (South) PUMA,77116,17413,0.18421,94529
