GEOID10,NAMELSAD10,PUMA,Total_Non_Black,Non_Blk_Low_Risk,Non_Blk_High_Risk,Non_Blk_Pct_Risk,Total_Blk,Blk_Low_Risk,Blk_High_Risk,Blk_Pct_Risk,Pct_Black,Total_Pct_Risk
4203701,Adams & Franklin (Southeast) Counties PUMA,"Adams & Franklin (Southeast) Counties PUMA, Pennsylvania",79233,60533,18700,0.236012772,1697,924,773,0.455509723,0.027269806,0.240615347
4201804,"Allegheny County (East)--Monroeville Municipality, Plum & Wilkinsburg Boroughs PUMA","Allegheny County (East)--Monroeville Municipality, Plum & Wilkinsburg Boroughs PUMA; Pennsylvania",80715,62005,18710,0.231803258,28168,20271,7897,0.280353593,0.312377319,0.244363216
4201803,Allegheny County (North Central) PUMA,"Allegheny County (North Central) PUMA, Pennsylvania",76360,59818,16542,0.216631744,4185,3837,348,0.083154122,0.06538756,0.209696443
4201802,Allegheny County (North)--Franklin Park Borough & Allison Park PUMA,"Allegheny County (North)--Franklin Park Borough & Allison Park PUMA, Pennsylvania",96540,71499,25041,0.259384711,3187,2741,446,0.139943521,0.042671987,0.2555677
4201806,Allegheny County (South Central)--Baldwin & Whitehall Boroughs PUMA,"Allegheny County (South Central)--Baldwin & Whitehall Boroughs PUMA, Pennsylvania",74822,58038,16784,0.224319051,3596,3217,379,0.105394883,0.05834442,0.218865567
4201807,Allegheny County (South)--Bethel Park Municipality & Jefferson Hills Borough PUMA,"Allegheny County (South)--Bethel Park Municipality & Jefferson Hills Borough PUMA, Pennsylvania",67832,53859,13973,0.205994221,2364,1811,553,0.23392555,0.042046849,0.206934868
4201805,"Allegheny County (Southeast)--West Mifflin Borough, McKeesport City & Munhall Borough PUMA","Allegheny County (Southeast)--West Mifflin Borough, McKeesport City & Munhall Borough PUMA; Pennsylvania",51826,38677,13149,0.253714352,8820,5600,3220,0.365079365,0.185695939,0.269910629
4201801,Allegheny County (West) PUMA,"Allegheny County (West) PUMA, Pennsylvania",69747,52440,17307,0.248139705,6586,5100,1486,0.225630125,0.111577949,0.246197582
4202803,Allentown City PUMA,"Allentown City PUMA, Pennsylvania",59588,44634,14954,0.250956568,13613,8862,4751,0.349004628,0.233711607,0.269190312
4201502,Beaver County (South) PUMA,"Beaver County (South) PUMA, Pennsylvania",84600,63617,20983,0.248026005,6967,4269,2698,0.387254198,0.098705089,0.258619372
4202703,Berks County (East) PUMA,"Berks County (East) PUMA, Pennsylvania",91418,70459,20959,0.229265571,3563,1668,1895,0.531855178,0.048134338,0.240616544
4202701,Berks County (Northwest)--Wyomissing Borough PUMA,"Berks County (Northwest)--Wyomissing Borough PUMA, Pennsylvania",79582,60824,18758,0.235706567,4244,3266,978,0.230442978,0.065224073,0.235440078
4202702,Berks County (Southwest)--Reading City PUMA,"Berks County (Southwest)--Reading City PUMA, Pennsylvania",74166,54921,19245,0.259485479,8842,6142,2700,0.305360778,0.138669761,0.264372109
4202200,Blair & Huntingdon Counties--Altoona City PUMA,"Blair & Huntingdon Counties--Altoona City PUMA, Pennsylvania",92612,68072,24540,0.264976461,4769,2780,1989,0.417068568,0.065471369,0.272424806
4200400,"Bradford, Tioga & Sullivan Counties PUMA","Bradford, Tioga & Sullivan Counties PUMA; Pennsylvania",58514,46816,11698,0.199917968,560,504,56,0.1,0.011820331,0.198970782
4203002,Bucks County (Central) PUMA,"Bucks County (Central) PUMA, Pennsylvania",83031,68166,14865,0.179029519,1657,1269,388,0.234158117,0.023731435,0.180108162
4203001,Bucks County (North) PUMA,"Bucks County (North) PUMA, Pennsylvania",86863,68010,18853,0.21704293,4462,3874,588,0.131779471,0.061568606,0.212877087
4203003,Bucks County (Southeast)--Levittown PUMA,"Bucks County (Southeast)--Levittown PUMA, Pennsylvania",103904,81181,22723,0.218692254,5788,4706,1082,0.186938493,0.06655245,0.217016738
